store_id,name,store_type,status,latitude,longitude,address_street,address_city,address_state,address_postal_code,address_country,phone,services,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun
S0001,Orlando Store,outlet,active,28.5813,-81.3862,390 Main St,Orlando,FL,32801,USA,354-619-1042,photo_printing|pickup|automotive|pharmacy|garden_center,08:00-21:00,09:00-20:00,08:00-22:00,08:00-21:00,closed,07:00-24:00,10:00-21:00
S0002,Orlando Store,outlet,active,28.5073,-81.3464,175 Oak St,Orlando,FL,32801,USA,532-815-3178,optical|pickup|returns|photo_printing|automotive,08:00-24:00,07:00-24:00,07:00-20:00,06:00-22:00,06:00-22:00,08:00-20:00,09:00-23:00
S0003,Worcester Store,regular,active,42.3116,-71.8016,376 Broadway St,Worcester,MA,01608,USA,627-319-4858,returns|garden_center,10:00-21:00,06:00-21:00,09:00-24:00,07:00-20:00,09:00-21:00,09:00-21:00,08:00-23:00
S0004,Worcester Store,regular,active,42.2752,-71.8373,570 Oak St,Worcester,MA,01608,USA,848-839-9605,automotive|gift_wrapping|photo_printing,06:00-22:00,10:00-23:00,09:00-22:00,10:00-20:00,10:00-21:00,07:00-21:00,09:00-23:00
S0005,Colorado Springs Store,regular,active,38.8573,-104.8168,895 Third St,Colorado Springs,CO,80901,USA,817-923-4306,photo_printing|pickup,07:00-20:00,07:00-23:00,07:00-21:00,09:00-22:00,07:00-24:00,10:00-22:00,09:00-23:00
S0006,Boulder Store,outlet,active,40.0302,-105.3052,619 Second St,Boulder,CO,80301,USA,750-876-1891,automotive|pharmacy|pickup|photo_printing|optical,10:00-22:00,06:00-24:00,07:00-24:00,07:00-22:00,09:00-24:00,10:00-21:00,08:00-20:00
S0007,Oklahoma City Store,outlet,active,35.4565,-97.5638,296 Main St,Oklahoma City,OK,73102,USA,580-984-8205,pickup|optical,07:00-22:00,09:00-24:00,closed,10:00-24:00,08:00-21:00,07:00-20:00,09:00-20:00
S0008,Oklahoma City Store,outlet,active,35.4879,-97.4736,5 Broadway St,Oklahoma City,OK,73102,USA,990-933-9051,pharmacy|returns|optical,06:00-22:00,06:00-23:00,08:00-22:00,06:00-20:00,07:00-21:00,07:00-24:00,07:00-21:00
S0009,Baltimore Store,regular,active,39.2559,-76.5663,514 Park St,Baltimore,MD,21202,USA,434-762-3967,automotive|pharmacy|pickup|gift_wrapping|optical,07:00-22:00,06:00-21:00,06:00-21:00,07:00-21:00,07:00-23:00,09:00-20:00,07:00-23:00
S0010,Baltimore Store,regular,active,39.2641,-76.6148,442 Broadway St,Baltimore,MD,21202,USA,814-939-1329,automotive|returns|pharmacy,09:00-24:00,09:00-23:00,10:00-24:00,08:00-20:00,07:00-20:00,10:00-21:00,closed
S0011,Cincinnati Store,outlet,active,39.1715,-84.1552,546 Broadway St,Cincinnati,OH,45202,USA,293-316-7459,automotive|optical|photo_printing|pickup|pharmacy,10:00-24:00,06:00-24:00,06:00-24:00,06:00-23:00,06:00-23:00,10:00-20:00,08:00-21:00
S0012,Toledo Store,regular,active,41.6431,-83.5397,921 Broadway St,Toledo,OH,43604,USA,657-721-1934,returns|pickup|gift_wrapping|pharmacy,10:00-21:00,06:00-21:00,07:00-24:00,08:00-20:00,06:00-20:00,08:00-22:00,10:00-23:00
S0013,New York Store,regular,active,40.7292,-74.0485,827 Broadway St,New York,NY,10001,USA,966-646-3235,pickup|photo_printing,07:00-20:00,10:00-23:00,08:00-21:00,09:00-20:00,07:00-20:00,10:00-23:00,closed
S0014,Rochester Store,regular,active,43.1186,-77.6236,256 Oak St,Rochester,NY,14604,USA,887-346-7955,photo_printing|garden_center,09:00-20:00,06:00-23:00,08:00-22:00,08:00-20:00,10:00-22:00,09:00-22:00,10:00-22:00
S0015,Arlington Store,flagship,active,32.7575,-97.2194,729 Third St,Arlington,TX,76010,USA,961-886-5044,photo_printing|pickup|returns,07:00-20:00,09:00-21:00,08:00-20:00,09:00-20:00,09:00-21:00,07:00-23:00,08:00-22:00
S0016,Plano Store,regular,active,32.9819,-96.6629,667 Market St,Plano,TX,75074,USA,468-825-5443,photo_printing|returns,06:00-22:00,08:00-20:00,10:00-22:00,07:00-24:00,08:00-24:00,09:00-21:00,09:00-24:00
S0017,Lexington Store,regular,active,38.0233,-84.5022,252 Oak St,Lexington,KY,40507,USA,648-794-2742,gift_wrapping|garden_center|pharmacy|photo_printing,07:00-20:00,08:00-20:00,07:00-21:00,06:00-24:00,09:00-22:00,08:00-24:00,07:00-22:00
S0018,Lexington Store,outlet,active,38.041,-84.4556,163 Elm St,Lexington,KY,40507,USA,722-916-8223,gift_wrapping|garden_center|pharmacy|optical,09:00-23:00,06:00-21:00,closed,08:00-24:00,10:00-22:00,09:00-23:00,06:00-22:00
S0019,Portland Store,regular,active,45.5492,-122.6618,146 Market St,Portland,OR,97201,USA,245-314-4874,photo_printing|returns|gift_wrapping,06:00-20:00,09:00-24:00,08:00-21:00,08:00-20:00,07:00-23:00,09:00-20:00,07:00-21:00
S0020,Portland Store,outlet,active,45.5014,-122.6327,730 Washington St,Portland,OR,97201,USA,569-789-9132,pickup|automotive|garden_center|photo_printing|gift_wrapping,09:00-24:00,08:00-24:00,07:00-22:00,06:00-20:00,09:00-24:00,09:00-20:00,06:00-23:00
S0021,Charleston Store,regular,active,32.765,-79.9016,455 Park St,Charleston,SC,29401,USA,929-963-9865,garden_center|gift_wrapping|automotive|returns|optical,09:00-21:00,09:00-23:00,08:00-24:00,08:00-22:00,09:00-23:00,closed,09:00-23:00
S0022,Charleston Store,regular,active,32.7514,-79.9127,345 Market St,Charleston,SC,29401,USA,487-591-8674,pickup|automotive|gift_wrapping,09:00-23:00,10:00-24:00,09:00-22:00,07:00-24:00,10:00-24:00,09:00-20:00,10:00-22:00
S0023,Allentown Store,regular,active,40.5737,-75.9147,132 Second St,Allentown,PA,18101,USA,859-801-9370,automotive|returns|photo_printing,10:00-20:00,09:00-20:00,06:00-21:00,closed,06:00-24:00,09:00-22:00,07:00-24:00
S0024,Allentown Store,outlet,active,40.5576,-75.869,1 Washington St,Allentown,PA,18101,USA,332-755-2160,photo_printing|gift_wrapping|returns,07:00-22:00,09:00-22:00,08:00-21:00,08:00-21:00,09:00-20:00,09:00-20:00,10:00-22:00
S0025,Long Beach Store,regular,active,33.7979,-118.1864,93 Second St,Long Beach,CA,90801,USA,302-431-8222,gift_wrapping|garden_center|automotive|pickup,08:00-20:00,07:00-24:00,06:00-24:00,10:00-22:00,09:00-22:00,closed,06:00-22:00
S0026,Los Angeles Store,regular,active,34.0969,-118.2625,91 Oak St,Los Angeles,CA,90001,USA,512-990-4763,returns|pickup,07:00-24:00,09:00-22:00,06:00-23:00,08:00-21:00,08:00-22:00,08:00-21:00,06:00-24:00
S0027,Mesa Store,regular,active,33.4179,-111.8548,683 Market St,Mesa,AZ,85201,USA,254-746-5353,optical|returns|gift_wrapping|pickup,07:00-22:00,06:00-24:00,06:00-24:00,07:00-23:00,06:00-23:00,10:00-21:00,07:00-22:00
S0028,Phoenix Store,regular,active,33.446,-112.1135,878 Broadway St,Phoenix,AZ,85001,USA,219-899-5973,pickup|gift_wrapping|pharmacy|automotive|returns,09:00-23:00,07:00-20:00,09:00-22:00,10:00-24:00,09:00-20:00,09:00-20:00,09:00-22:00
